threshold,accuracy,precision,recall,f1,false_positive,false_negative,true_positive,true_negative,business_cost
0.42,0.7913413768630234,0.6041666666666666,0.6203208556149733,0.6121372031662269,152,142,232,883,862
0.43,0.7955997161107168,0.6162162162162163,0.6096256684491979,0.6129032258064516,142,146,228,893,872
0.44,0.7984386089425124,0.6243093922651933,0.6042780748663101,0.6141304347826086,136,148,226,899,876
0.45,0.7984386089425124,0.6271186440677966,0.5935828877005348,0.6098901098901099,132,152,222,903,892
0.46,0.8026969481902059,0.6420118343195266,0.5802139037433155,0.6095505617977528,121,157,217,914,906
0.47,0.8062455642299503,0.6525679758308157,0.5775401069518716,0.6127659574468085,115,158,216,920,905
0.48,0.8090844570617459,0.664576802507837,0.5668449197860963,0.6118326118326118,107,162,212,928,917
0.49,0.8119233498935415,0.6763754045307443,0.5588235294117647,0.6120058565153733,100,165,209,935,925
0.5,0.8133427963094393,0.688135593220339,0.5427807486631016,0.6068759342301944,92,171,203,943,947
0.51,0.8147622427253371,0.6968641114982579,0.5347593582887701,0.6051437216338881,87,174,200,948,957
0.52,0.8097941802696949,0.6920289855072463,0.5106951871657754,0.5876923076923077,85,183,191,950,1000
0.53,0.8090844570617459,0.6981132075471698,0.4946524064171123,0.5790297339593115,80,189,185,955,1025
0.54,0.8069552874378992,0.7007874015748031,0.47593582887700536,0.5668789808917197,76,196,178,959,1056
0.55,0.8055358410220014,0.7016129032258065,0.46524064171123,0.5594855305466238,74,200,174,961,1074
0.56,0.8048261178140526,0.7053941908713693,0.45454545454545453,0.5528455284552846,71,204,170,964,1091
0.57,0.8019872249822569,0.7092511013215859,0.4304812834224599,0.5357737104825291,66,213,161,969,1131
0.58,0.8026969481902059,0.7222222222222222,0.41711229946524064,0.5288135593220339,60,218,156,975,1150
0.59,0.801277501774308,0.735,0.393048128342246,0.5121951219512195,53,227,147,982,1188
0.6,0.7970191625266146,0.7291666666666666,0.37433155080213903,0.49469964664310956,52,234,140,983,1222
0.61,0.7955997161107168,0.7415730337078652,0.35294117647058826,0.4782608695652174,46,242,132,989,1256
0.62,0.7920511000709723,0.7396449704142012,0.3342245989304813,0.4604051565377532,44,249,125,991,1289
0.63,0.7920511000709723,0.7515527950310559,0.3235294117647059,0.4523364485981308,40,253,121,995,1305
0.64,0.7892122072391767,0.7516339869281046,0.3074866310160428,0.4364326375711575,38,259,115,997,1333
0.65,0.7856635911994322,0.7465753424657534,0.2914438502673797,0.41923076923076924,37,265,109,998,1362
0.66,0.7849538679914834,0.7553956834532374,0.2807486631016043,0.4093567251461988,34,269,105,1001,1379
0.67,0.7849538679914834,0.7553956834532374,0.2807486631016043,0.4093567251461988,34,269,105,1001,1379
0.68,0.7821149751596878,0.7557251908396947,0.2647058823529412,0.3920792079207921,32,275,99,1003,1407
0.69,0.7778566359119943,0.7479674796747967,0.24598930481283424,0.3702213279678068,31,282,92,1004,1441
0.7,0.7778566359119943,0.7652173913043478,0.23529411764705882,0.35991820040899797,27,286,88,1008,1457
0.71,0.7785663591199432,0.7767857142857143,0.232620320855615,0.35802469135802467,25,287,87,1010,1460
0.72,0.7764371894960965,0.780952380952381,0.2192513368983957,0.34237995824634654,23,292,82,1012,1483
0.73,0.7771469127040455,0.8061224489795918,0.21122994652406418,0.3347457627118644,19,295,79,1016,1494
0.74,0.7735982966643009,0.8021978021978022,0.19518716577540107,0.3139784946236559,18,301,73,1017,1523
0.75,0.7707594038325053,0.8148148148148148,0.17647058823529413,0.29010989010989013,15,308,66,1020,1555
0.76,0.7679205110007097,0.8133333333333334,0.16310160427807488,0.2717149220489978,14,313,61,1021,1579
0.77,0.765791341376863,0.8142857142857143,0.15240641711229946,0.25675675675675674,13,317,57,1022,1598
0.78,0.765791341376863,0.8333333333333334,0.14705882352941177,0.25,11,319,55,1024,1606
0.79,0.765791341376863,0.8548387096774194,0.14171122994652408,0.24311926605504589,9,321,53,1026,1614
0.8,0.7615330021291696,0.8392857142857143,0.12566844919786097,0.2186046511627907,9,327,47,1026,1644
0.81,0.7565649396735273,0.8444444444444444,0.10160427807486631,0.18138424821002386,7,336,38,1028,1687
0.82,0.7530163236337828,0.90625,0.07754010695187166,0.14285714285714285,3,345,29,1032,1728
0.83,0.7501774308019872,0.8928571428571429,0.06684491978609626,0.12437810945273632,3,349,25,1032,1748
0.84,0.7480482611781405,0.88,0.058823529411764705,0.11027568922305764,3,352,22,1032,1763
0.85,0.7473385379701917,0.875,0.05614973262032086,0.10552763819095477,3,353,21,1032,1768
0.86,0.7466288147622427,1.0,0.045454545454545456,0.08695652173913043,0,357,17,1035,1785
0.87,0.7409510290986515,1.0,0.02406417112299465,0.04699738903394256,0,365,9,1035,1825
0.88,0.7381121362668559,1.0,0.013368983957219251,0.026385224274406333,0,369,5,1035,1845
0.89,0.7366926898509581,1.0,0.008021390374331552,0.015915119363395226,0,371,3,1035,1855
0.9,0.7359829666430092,1.0,0.0053475935828877,0.010638297872340425,0,372,2,1035,1860
0.91,0.7359829666430092,1.0,0.0053475935828877,0.010638297872340425,0,372,2,1035,1860
0.92,0.7352732434350603,1.0,0.00267379679144385,0.005333333333333333,0,373,1,1035,1865
0.93,0.7345635202271115,0.0,0.0,0.0,0,374,0,1035,1870
0.94,0.7345635202271115,0.0,0.0,0.0,0,374,0,1035,1870
0.95,0.7345635202271115,0.0,0.0,0.0,0,374,0,1035,1870
