subset,name,encoder,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,test50_accuracy,test50_precision,test50_recall,test50_f1,test50_roc_auc,test50_pr_auc,test50_tn,test50_fp,test50_fn,test50_tp,best_accuracy,best_accuracy_threshold,best_f1,best_f1_threshold,best_cost,best_cost_recall,n_features
no_demographics,LGBM A,onehot,0.802805196524513,0.6610189134277998,0.5277591973244147,0.5863746716625097,0.8472000391868708,0.6634572631783715,0.8090844570617459,0.6755852842809364,0.5401069518716578,0.600297176820208,0.8488491048593352,0.6616713264635739,938,97,172,202,0.8090844570617459,0.5,0.635875402792696,0.28,589.0,0.9010695187165776,55
all,HGB,onehot,0.8019183578906889,0.6626121021617666,0.5197324414715718,0.5816462518398209,0.8476269876449998,0.6630988977517915,0.8076650106458482,0.6734006734006734,0.5347593582887701,0.5961251862891207,0.8477162933684673,0.6638611909910483,938,97,174,200,0.8097941802696949,0.52,0.6395604395604395,0.3,595.0,0.9331550802139037,61
all,LGBM A,onehot,0.8022732824692159,0.6573284379689437,0.5331103678929766,0.5881756117726604,0.8475770628723429,0.6629914300587367,0.8090844570617459,0.6755852842809364,0.5401069518716578,0.600297176820208,0.8497481205921104,0.6607425914227486,938,97,172,202,0.8119233498935415,0.49,0.638477801268499,0.27,585.0,0.893048128342246,61
drop_sparse_interactions,XGB,onehot,0.8042259980677728,0.6660282466347208,0.5284280936454849,0.5888348342689401,0.8490565440481779,0.6620307783556751,0.7984386089425124,0.6530612244897959,0.5133689839572193,0.5748502994011976,0.8456870495233666,0.6643872980220357,933,102,182,192,0.8005677785663591,0.55,0.6400937866354045,0.34,605.0,0.9411764705882353,53
contract_value_support,XGB,onehot,0.8054679188842886,0.6691669411426775,0.5297658862876254,0.5908098210710135,0.8488904145159359,0.6618827104123949,0.7991483321504613,0.6552901023890785,0.5133689839572193,0.5757121439280359,0.8453680022733732,0.6657684220278417,934,101,182,192,0.801277501774308,0.42,0.6416861826697893,0.34,614.0,0.9491978609625669,51
no_demographics,HGB,onehot,0.8042253676511149,0.6693137001383705,0.5204013377926422,0.5849042575336627,0.8468678680378907,0.6618142213064248,0.8076650106458482,0.6745762711864407,0.5320855614973262,0.5949177877428998,0.8468159859464208,0.6632922377334144,939,96,175,199,0.8119233498935415,0.52,0.6350606394707828,0.3,592.0,0.9064171122994652,55
all,LGBM B,onehot,0.7989008685565506,0.6510034094798494,0.5237458193979933,0.5799949546637874,0.846825129869271,0.6607055798522261,0.808374733853797,0.6699346405228758,0.5481283422459893,0.6029411764705882,0.8481050918391072,0.6596509058398949,934,101,169,205,0.8097941802696949,0.51,0.6377118644067796,0.26,598.0,0.8957219251336899,61
drop_sparse_interactions,GB,onehot,0.8035153608898963,0.6685874777285165,0.517056856187291,0.5826699159536821,0.8484098527413353,0.6604308981496055,0.8005677785663591,0.6608996539792388,0.5106951871657754,0.5761689291101055,0.8444341109302747,0.6636085390157258,937,98,183,191,0.8005677785663591,0.45,0.6343042071197411,0.27,601.0,0.93048128342246,53
no_demographics,LGBM B,onehot,0.8012078783169766,0.6565327617186135,0.5270903010033445,0.5842454310155121,0.8457820798155167,0.6601854889195287,0.8069552874378992,0.6677631578947368,0.5427807486631016,0.5988200589970502,0.8478751711488284,0.6621245299936629,934,101,171,203,0.8105039034776437,0.52,0.637223974763407,0.26,588.0,0.9117647058823529,55
contract_value_support,LGBM A,onehot,0.8038701278642586,0.6620701911662202,0.5331103678929766,0.5899438238447049,0.8473725367321233,0.6599775343395322,0.8019872249822569,0.6599326599326599,0.5240641711229946,0.5842026825633383,0.8473533286832519,0.6688613297583046,934,101,178,196,0.8055358410220014,0.56,0.6374331550802139,0.28,596.0,0.9010695187165776,51
drop_sparse_interactions,HGB,onehot,0.8019188307031826,0.6631086716574812,0.5183946488294314,0.5812061810979203,0.8471822631603697,0.6599667027325367,0.8041163946061036,0.6655405405405406,0.5267379679144385,0.5880597014925373,0.8460939316438038,0.6651096768719891,936,99,177,197,0.8055358410220014,0.49,0.6373390557939914,0.28,600.0,0.9278074866310161,53
contract_value_support,GB,onehot,0.8033382138089618,0.6692917999904755,0.5137123745819397,0.5809545713931115,0.8481374494825303,0.6586815845398728,0.7955997161107168,0.6493055555555556,0.5,0.5649546827794562,0.8440621044201607,0.6629782316203127,934,101,187,187,0.8005677785663591,0.47,0.6336206896551724,0.27,605.0,0.9385026737967914,51
drop_sparse_interactions,LGBM A,onehot,0.8026288374644011,0.659412181972977,0.5317725752508361,0.5882695384797094,0.8475441199561337,0.6584985732552083,0.8034066713981547,0.6611295681063123,0.5320855614973262,0.5896296296296296,0.8483156371903174,0.669901317414566,933,102,175,199,0.808374733853797,0.55,0.6374589266155531,0.3,601.0,0.9251336898395722,53
contract_value_support,LGBM B,onehot,0.8020953473674588,0.657935816050949,0.5304347826086956,0.5870089969890762,0.8461148907939984,0.6577832280812139,0.7984386089425124,0.65,0.5213903743315508,0.5786350148367952,0.8457942597328786,0.6658467683248717,930,105,179,195,0.8055358410220014,0.53,0.6319365798414496,0.32,597.0,0.8823529411764706,51
contract_value_support,HGB,onehot,0.8051126790974324,0.6710047080026531,0.5224080267558529,0.5869466301289845,0.8469475947011645,0.6570334696786732,0.8041163946061036,0.6601307189542484,0.5401069518716578,0.5941176470588235,0.8443436926812885,0.6610800394602664,931,104,172,202,0.8055358410220014,0.53,0.6338185890257558,0.31,599.0,0.9117647058823529,51
drop_sparse_interactions,LGBM B,onehot,0.8003211972873171,0.6537937742059697,0.5284280936454849,0.5840068631130786,0.8460569725483447,0.6560807814671679,0.8034066713981547,0.659016393442623,0.5374331550802139,0.5920471281296024,0.8475302901134104,0.6686115862713718,931,104,173,201,0.808374733853797,0.55,0.6406080347448425,0.29,598.0,0.9064171122994652,53
